Timestamp,Coursework: [Consolidation Shearing Properties of Soils],Coursework: [Soil and Rock Dynamics],"Coursework: [Decision, Risk, and Reliability]",Coursework: [Advanced Analysis of Geotechnical Engineering],Coursework: [Geotechnical Earthquake Engineering],Coursework: [Foundation Engineering],Coursework: [Underground Openings],Coursework: [Earth Retaining Structures],Coursework: [Geoenvironmental Engineering],Coursework: [Engineering Geology],Coursework: [Stability of Earth Slopes],Additional Coursework In This Field/Department,Coursework: [The Finite Element Method],Coursework: [Dynamics Response of Structures],Coursework: [Earthquake Engineering],Coursework: [Computer Methods in Structural Analysis],Additional Coursework In This Field/Department,Coursework: [Design and Perf of Pavements],Coursework: [Bituminous Materials],Additional Coursework In This Field/Department,Coursework: [Solid Mechanics 1],Coursework: [Solid Mechanics 2],Coursework: [Advanced Theory of Finite Element Methods],Additional Coursework In This Field/Department,Additional Coursework
2023/07/12 3:45:50 PM EST,5 - Would Strongly Recommend,3 - Netural,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,4 - Generally Would Recommend,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,
2023/07/25 4:39:24 PM EST,5 - Would Strongly Recommend,,,3 - Netural,,4 - Generally Would Recommend,,,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,
2023/07/27 9:23:09 AM EST,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,,3 - Netural,,4 - Generally Would Recommend,,5 - Would Strongly Recommend,,,5 - Would Strongly Recommend,,,,,,,,,,,,,,
2023/07/27 10:00:19 AM EST,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,,3 - Netural,,3 - Netural,,4 - Generally Would Recommend,,3 - Netural,4 - Generally Would Recommend,,,,,,,,,,,,,,
2023/07/27 10:09:51 AM EST,3 - Netural,2 - Generally Would Not Recommend,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,2 - Generally Would Not Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,,,,,,,5 - Would Strongly Recommend,,,,,1 - Would Warn Against Taking This Couse,,
2023/07/27 11:55:48 AM EST,4 - Generally Would Recommend,,,4 - Generally Would Recommend,3 - Netural,3 - Netural,,4 - Generally Would Recommend,,3 - Netural,4 - Generally Would Recommend,,,4 - Generally Would Recommend,,,,,,,,,,,
2023/07/27 1:18:09 PM EST,5 - Would Strongly Recommend,4 - Generally Would Recommend,,,,5 - Would Strongly Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,
2023/07/27 7:18:53 PM EST,5 - Would Strongly Recommend,,,3 - Netural,5 - Would Strongly Recommend,3 - Netural,2 - Generally Would Not Recommend,4 - Generally Would Recommend,2 - Generally Would Not Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,,,,,,,,,,,,,,
2023/07/27 10:12:47 PM EST,,,,5 - Would Strongly Recommend,,,,5 - Would Strongly Recommend,,4 - Generally Would Recommend,,,,,,,,,,,,,,,
2023/07/27 11:19:51 PM EST,2 - Generally Would Not Recommend,3 - Netural,,4 - Generally Would Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,3 - Netural,5 - Would Strongly Recommend,,,5 - Would Strongly Recommend,,,,,,,,,,,,,,
2023/07/30 12:19:09 AM EST,5 - Would Strongly Recommend,3 - Netural,,3 - Netural,,3 - Netural,,,,4 - Generally Would Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,
2023/07/31 12:14:11 PM EST,5 - Would Strongly Recommend,,3 - Netural,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,4 - Generally Would Recommend,3 - Netural,4 - Generally Would Recommend,5 - Would Strongly Recommend,,,4 - Generally Would Recommend,,,,,,,,,,,
2023/08/08 10:37:39 AM EST,5 - Would Strongly Recommend,3 - Netural,,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,,,5 - Would Strongly Recommend,,,,,,,,,,,,,,